binary_smallmed_gen.txt,missing_one
33726,3850
33726,3787
binary_large_gen_reduced.txt,has_one
33726,142476
33726,141900
33726,142006
33726,145348
33726,141206
33726,145290
33726,142443
33726,138744
33726,142265
33726,144569
binary_large_gen_reduced.txt,some
33726,134497
33726,134117
33726,134502
33726,134398
33726,134199
33726,133868
33726,134588
33726,134284
33726,134384
33726,134277
binary_large_gen_reduced.txt,half
33726,107243
33726,107356
33726,107179
33726,107552
33726,107523
33726,107240
33726,107498
33726,107163
33726,107352
33726,107058
binary_large_gen_reduced.txt,most
33726,62007
33726,61896
33726,61819
33726,62002
33726,61719
33726,61873
33726,61952
33726,62022
33726,61630
33726,61891
binary_large_gen_reduced.txt,random_10
33726,156790
33726,156730
33726,156863
33726,156721
33726,156738
33726,157116
33726,156635
33726,156853
33726,156489
33726,157041
binary_large_gen_reduced.txt,random_25
33726,159544
33726,159156
33726,159094
33726,159184
33726,158807
33726,158707
33726,159450
33726,158994
33726,159373
33726,158947
binary_large_gen_reduced.txt,random_50
33726,143467
33726,143501
33726,143540
33726,143226
33726,143057
33726,143332
33726,143363
33726,143357
33726,143331
33726,143412
binary_large_gen_reduced.txt,random_75
33726,87617
33726,87590
33726,87529
33726,87653
33726,87718
33726,89194
33726,87769
33726,87730
33726,87358
33726,87414
binary_large_gen_reduced.txt,random_90
33726,49706
33726,49761
33726,49698
33726,49715
33726,50010
33726,49932
33726,49751
33726,49706
33726,49800
33726,49883
